name,facility_type,agency,acres,notes,corridor_town,annual_visitors,visitor_year,visitor_trend,visitor_source,visitor_data_notes
Greenbrier State Forest,state_forest,WV Division of Forestry,4841.9,"Near White Sulphur Springs, Section 4 area",White Sulphur Springs,,,,WV Division of Forestry (wvforestry.com),No public visitor count found
Gaudineer Scenic Area (Mon. NF),national_forest_scenic_area,USFS - Monongahela NF,145.4,Old-growth red spruce; near Gaudineer N/S trailhead waypoints,Durbin,,,,USFS NVUM (apps.fs.usda.gov/nvum),No site-level count; Monongahela NF total ~3M visits/year (USFS NVUM FY2019)
Coopers Rock State Forest,state_forest,WV Division of Forestry,13057.2,"Section 1 gateway; 12,747 acres; rock overlooks, hiking, camping, climbing near I-68",Albright,300000,2023 est.,"~300,000/yr (recent years)",coopersrock.org; visitmountaineercountry.com,One of WV's most visited state lands; proximity to Morgantown/I-68 drives high use
Cheat Canyon Wildlife Management Area,wildlife_management_area,WV DNR,3806.2,"3,836 acres on Cheat River canyon near Albright; whitewater access, hunting, hiking; purchased 2014",Albright,,,,WV DNR (wvdnr.gov),No public visitor count; WMA hunting/fishing use tracked internally by WV DNR
Canaan Valley National Wildlife Refuge,national_wildlife_refuge,US Fish & Wildlife Service,16995.8,"16,613 acres; largest high-elevation wetland complex in eastern US; birding, wildlife observation, hunting; Tucker County",Davis,10000,2023 est.,"~10,000/yr at visitor center",USFWS (fws.gov/refuge/canaan-valley),"Visitor center figure only; total refuge use (hunting, wildlife viewing, hiking) likely higher"
Dolly Sods Wilderness,national_forest_wilderness,USFS - Monongahela NF,17776.7,"17,776 acres; high-altitude heath barrens, WWII-era bombing range; Section 1 area; 0.7mi from corridor",Davis,60000,2022-2023,"45,000-76,000/yr recent years; ~15% increase 2022 to 2023",wvgazettemail.com; wvhighlands.org,Trailhead register counts; gradual rise for a decade then COVID-era surge; ongoing monitoring
Otter Creek Wilderness,national_forest_wilderness,USFS - Monongahela NF,20705.5,"20,698 acres; Section 1/2 corridor; old-growth hemlock, remote backcountry; Tucker/Randolph counties",Thomas,,,,USFS Mon NF (fs.usda.gov/r09/monongahela),Noted as low-visitation area despite 45mi of trails; no published count
Laurel Fork North Wilderness,national_forest_wilderness,USFS - Monongahela NF,6048.1,"6,055 acres; Randolph County; 9.5mi of trails along Laurel Fork river; Section 2 area",Durbin,,,,USFS Mon NF (fs.usda.gov/r09/monongahela),No published visitor count; remote low-use wilderness
Laurel Fork South Wilderness,national_forest_wilderness,USFS - Monongahela NF,5839.7,"5,784 acres; Randolph County; 9mi of trails; separated from North by County Route 40; Section 2 area",Durbin,,,,USFS Mon NF (fs.usda.gov/r09/monongahela),No published visitor count; remote low-use wilderness
Spruce Knob-Seneca Rocks NRA,national_recreation_area,USFS - Monongahela NF,99824.0,"100,000 acres; includes WV's highest point (4,863ft) and premier rock climbing at Seneca Rocks; Pendleton County; 7mi from corridor",Davis,35000,2023 est.,"30,000-40,000/yr at Seneca Rocks area",USFS NVUM; wvtourism.com,Estimate for Seneca Rocks climbing/visitor area only; broader NRA part of Mon NF 3M total
Cranberry Wilderness,national_forest_wilderness,USFS - Monongahela NF,47742.0,"47,815 acres; largest eastern US USFS wilderness; Pocahontas/Webster counties; black bear sanctuary; 8.4mi from corridor",Marlinton,,,,USFS Mon NF (fs.usda.gov/r09/monongahela),No published count; includes Cranberry Glades day-use area which draws separate visitors
Falls of Hills Creek Scenic Area,state_park,WV DNR,6924.8,Holly River State Park -- added from PAD-US,Marlinton,,,,WV DNR / PAD-US,No facility-level visitor count published
Cranberry Glades Botanical Area,state_park,WV DNR,828.1,Holly River State Park -- added from PAD-US,Marlinton,,,,USFS Mon NF / WV DNR,No facility-level visitor count; boardwalk botanical area within Mon NF management zone
Holly River State Park,state_park,WV DNR,8128.2,Holly River State Park -- added from PAD-US,Jenningston,,,,WV State Parks (wvstateparks.com),No facility-level count published; WV's second largest state park
New River Gorge National Park and Preserve,national_park,NPS,52889.8,"New River Gorge National Park and Preserve -- designated 2020, 52,890 ac",White Sulphur Springs,1811937,2024,"1,595,923 (2022); 1,709,623 (2023); 1,811,937 (2024 -- record)",NPS IRMA Stats (irma.nps.gov); wvpublic.org; wvva.com,Record visitation 2024; ~6% annual growth; designated national park Dec 2020
Green Bank Observatory,federal_research_facility,"NSF / Associated Universities, Inc.",2666.6,"Green Bank Observatory -- NSF-funded radio astronomy facility, site of the GBT",Green Bank,50000,2023 est.,"40,000-50,000/yr; recent sources cite 50,000",gogreenbankobservatory.org (official fact sheets),Science center and telescope tours; year-round operation
