unit_name,holder,holder_type,manager,acres,duration,date_est,pub_access,gap_status,corridor_town
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,80,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,99,,2004,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,125,,2004,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,39,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,65,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,138,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,310,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,50,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,66,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,75,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,131,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,110,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,161,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,35,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,40,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,50,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,91,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,102,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,370,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,167,,2010,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,64,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,125,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,45,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,51,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,71,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,151,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,211,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,216,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,104,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,141,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,35,,2016,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,44,,2016,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,59,,2007,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,106,,2012,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,359,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,82,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,85,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,352,,2016,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,138,,2007,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,161,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,267,,2010,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,160,,2012,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,193,,2012,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,286,,2012,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,87,,2016,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,108,,2016,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,297,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,241,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,104,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,327,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,69,,2010,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,552,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,165,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,244,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,275,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,70,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,159,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,40,,2015,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hampshire, WV",NRCS - Admin State WV,nrcs,NRCS,91,,2015,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,289,,2003,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,156,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,151,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,132,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,136,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,165,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,244,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,66,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Hardy, WV",NRCS - Admin State WV,nrcs,NRCS,460,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,32,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,47,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,73,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,79,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,94,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,118,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,137,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,175,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,202,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,80,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,230,,2006,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,101,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,234,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,19,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,19,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,54,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,126,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,45,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,59,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,60,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,112,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,220,,2011,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,148,,2012,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,60,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,76,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,99,,2004,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,53,,2010,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,98,,2010,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,106,,2010,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,56,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,100,,2014,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,211,,2015,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Mineral, WV",NRCS - Admin State WV,nrcs,NRCS,241,,2015,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,55,,2005,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,98,,2007,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,195,,2008,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,54,,2009,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,67,,2009,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,48,,2011,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,73,,2011,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,389,,2011,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,80,,2012,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,42,,2016,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,393,,2016,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,37,,2017,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,41,,2017,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,39,,,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,8,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,40,,2005,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,147,,2005,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,109,,2007,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,37,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,41,,2009,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,103,,2010,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,109,,2010,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,69,,2013,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Morgan, WV",NRCS - Admin State WV,nrcs,NRCS,95,,2014,Closed,4 - no known mandate for biodiversity protection,Davis
"Farm and Ranch Lands Protection Program (FRPP), Nicholas, WV",NRCS - Admin State WV,nrcs,NRCS,84,,2008,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Nicholas, WV",NRCS - Admin State WV,nrcs,NRCS,154,,2009,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,63,,2010,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,65,,2010,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,65,,2010,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,18,,2011,Closed,4 - no known mandate for biodiversity protection,Cass
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,98,,2011,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,61,,2012,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,415,,2014,Closed,4 - no known mandate for biodiversity protection,Durbin
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,50,,2016,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,93,,2016,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Farm and Ranch Lands Protection Program (FRPP), Preston, WV",NRCS - Admin State WV,nrcs,NRCS,165,,2007,Closed,4 - no known mandate for biodiversity protection,Rowlesburg
"Farm and Ranch Lands Protection Program (FRPP), Preston, WV",NRCS - Admin State WV,nrcs,NRCS,214,,2013,Closed,4 - no known mandate for biodiversity protection,Terra Alta
"Regional Conservation Partnership Program - Agricultural Land Easements (RCPP-ALE), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,196,,2020,Closed,4 - no known mandate for biodiversity protection,Davis
"Regional Conservation Partnership Program - Agricultural Land Easements (RCPP-ALE), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,109,,2021,Closed,4 - no known mandate for biodiversity protection,Davis
"Regional Conservation Partnership Program - Agricultural Land Easements (RCPP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,278,,2020,Closed,4 - no known mandate for biodiversity protection,Davis
"Emergency Watershed Protection Program - Floodplain Easement (EWPP-FPE), , WV",NRCS - Admin State WV,nrcs,NRCS,0,,2010,Closed,2 - managed for biodiversity - disturbance events suppressed,White Sulphur Springs
